frequency_hz,ekf_pr_doppler_mean_position_error_3d_m_baseline,ekf_pr_doppler_mean_position_error_3d_m_corrected,ekf_pr_doppler_mean_position_error_3d_m_delta,ekf_pr_doppler_mean_position_error_3d_m_ratio,ekf_pr_doppler_mean_velocity_error_3d_mps_baseline,ekf_pr_doppler_mean_velocity_error_3d_mps_corrected,ekf_pr_doppler_mean_velocity_error_3d_mps_delta,ekf_pr_doppler_mean_velocity_error_3d_mps_ratio,single_fd_rmse_hz_baseline,single_fd_rmse_hz_corrected,single_fd_rmse_hz_delta,single_fd_rmse_hz_ratio,single_tau_rmse_ns_baseline,single_tau_rmse_ns_corrected,single_tau_rmse_ns_delta,single_tau_rmse_ns_ratio,wls_case_b_wls_position_error_3d_m_baseline,wls_case_b_wls_position_error_3d_m_corrected,wls_case_b_wls_position_error_3d_m_delta,wls_case_b_wls_position_error_3d_m_ratio
19000000000.0,106.86046989092185,11896.840540890653,11789.98007099973,111.33060291644225,0.15457914356483865,1902.2522910881391,1902.0977119445743,12306.008735843683,111.94739165037308,3620.1745957112053,3508.2272040608323,32.33817726649231,1141.4146034529545,12998.230558482592,11856.815955029637,11.387825702563248,427.8236938439661,4426.806274496877,3998.9825806529116,10.347267667020335
19500000000.0,256.88217225238714,321813.5032043355,321556.6210320831,1252.7669802175033,0.48629892620466897,32289.112771753946,32288.626472827742,66397.6641358332,112.32775760904502,3646.4695390875536,3534.1417814785086,32.462764473399645,636.4385225897491,8738.228923267849,8101.790400678099,13.729886883199473,173.08957553820636,3300.960520390469,3127.8709448522627,19.070822203627404
20000000000.0,139.5030435309494,65193.81931593641,65054.31627240546,467.3290106496698,0.1895186799941522,5864.988234972479,5864.798716292486,30946.755407717326,112.64282118440643,3836.5450040447154,3723.902182860309,34.05938313426957,897.4671882872775,8192.819658833341,7295.352470546064,9.12882361133278,102.25684397868531,3336.4396903381507,3234.1828463594657,32.62803310293448
20500000000.0,130.42931113122398,15749.867968307735,15619.438657176512,120.75405314731677,0.2696935401645826,2904.5720330471368,2904.302339506972,10769.898423501723,110.63274694247315,3589.1872575031766,3478.5545105607034,32.442358674954384,700.2590978522486,8960.323889219144,8260.064791366894,12.795726491381808,135.80015762579004,3626.7752474885388,3490.9750898627485,26.706708673214173
21000000000.0,56.6572290555253,112395.59786872467,112338.94063966915,1983.7821182284536,0.08762362470239621,12469.172557848808,12469.084934224105,142303.77481186096,106.98652360096044,3220.4438915526384,3113.457367951678,30.101397663543935,620.9702543414796,8058.998936258176,7438.028681916697,12.97807564841331,60.99351345788392,2982.707508407282,2921.713994949398,48.90204448489173
21500000000.0,70.43782632825214,205438.58241974367,205368.14459341543,2916.594578917942,0.1231439522575538,22765.2733725822,22765.150228629944,184867.16525850137,108.14752418084602,3104.1147991369944,2995.9672749561482,28.702596963257744,605.6417888831962,8884.135651797666,8278.493862914469,14.66896078650718,167.68083096741864,3548.4121936762594,3380.7313627088406,21.161704490632783
22000000000.0,125.65651373102021,54952.9646045092,54827.308090778184,437.32682829432366,0.18237606894654804,6547.8021724039145,6547.619796334968,35902.74870066964,112.36133348171006,3137.7330587474426,3025.3717252657325,27.925381103261792,749.0331012248824,9123.684800004952,8374.65169878007,12.180616297310666,51.34165633457115,3448.0271368719496,3396.685480537378,67.15847097730277
22500000000.0,15.090880029261898,43577.24347329981,43562.15259327055,2887.6542248564406,0.04294435127175012,5017.750900069832,5017.70795571856,116843.09464398953,106.47564434969598,3201.179409720455,3094.7037653707594,30.064898214721115,626.0641621519142,8823.188210125552,8197.124047973639,14.093105377248236,101.27024223608365,3278.5119841831074,3177.241741947024,32.373892979737924
23000000000.0,34.79180637455815,16334.845984553525,16300.054178178967,469.5026699303127,0.06785035732217719,2207.581663548299,2207.5138131909766,32536.035927798144,110.17044728733158,3164.065632754643,3053.8951854673114,28.719731204345184,574.1626116872833,8865.696114030117,8291.533502342834,15.441089220310994,105.60767239556036,2707.525806620659,2601.9181342250986,25.637586220814015
23500000000.0,18.988414786665228,18170.677687191877,18151.689272405212,956.9349464575836,0.039674342477741445,2298.0752547111806,2298.035580368703,57923.461642760005,106.5338302075669,3039.159783560586,2932.625953353019,28.527649645555694,590.5885938692118,7021.983220904098,6431.394627034886,11.889805007746466,58.245020450461325,3066.5480283554716,3008.3030079050104,52.649102097296684
24000000000.0,54.613438447578766,125272.57723156181,125217.96379311424,2293.804982665684,0.09119924394871694,13395.50822340555,13395.417024161601,146881.7902803898,101.98931935581426,3171.4419903359976,3069.4526709801835,31.095824644849916,584.7145620101513,7993.446685844105,7408.732123833954,13.670681739760278,49.24087465741422,3295.2942492709553,3246.053374613541,66.92192760988623
24500000000.0,4.107391176967104,3993.182216254836,3989.074825077869,972.1942820170832,0.0141445643273518,559.4976454083721,559.4835008440448,39555.66480944581,100.26412479053529,3125.00851179537,3024.7443870048346,31.167763328348165,533.6623574160452,8181.041868756914,7647.379511340869,15.329996120335206,63.73260696514058,3659.8042859779257,3596.071679012785,57.42436188087686
25000000000.0,56.188566730488134,226.67594615772344,170.4873794272353,4.034200538429612,0.09075518759474452,0.3501525485370184,0.25939736094227384,3.8582097378342604,103.53157630765725,79.92904177085678,-23.602534536800462,0.7720257395998441,566.5005828869126,561.6992977942815,-4.801285092631133,0.9915246599250374,62.743240470867256,12.93836188756093,-49.804878583306326,0.20621124746606656
25500000000.0,1.8502010265127147,54.2720397167051,52.42183869019239,29.333050268055366,0.009460034769082809,0.09356678615309282,0.08410675138401001,9.890744425050832,104.03847023158716,77.6731971876373,-26.365273043949855,0.7465815002348517,540.3928378562833,558.7652909396915,18.372453083408118,1.033998328246338,53.82067355378056,15.907425138892,-37.91324841488856,0.2955634719620599
26000000000.0,3.608776578355631,33.948051488855434,30.339274910499803,9.40708041957093,0.011077490530513536,0.07528963525337183,0.0642121447228583,6.796632779417191,105.13498877650218,76.34539339924078,-28.789595377261406,0.7261654211191021,535.32302881718,560.1091624809612,24.786133663781243,1.0463012654593757,69.87611199476264,8.181407457325633,-61.694704537437005,0.11708446883734526
26500000000.0,2.4157084057069067,21.701346013740405,19.285637608033497,8.983429441431264,0.009489478094591315,0.03926775842952665,0.029778280334935334,4.1380314110117355,105.86023613637288,76.36797086865722,-29.492265267715652,0.721403745692361,544.4901409168792,558.8661737921332,14.37603287525394,1.026402742299513,65.29700640241956,6.825880002684591,-58.47112639973496,0.10453587964840698
27000000000.0,1.3961291496090793,5.862991473068282,4.466862323459203,4.199462116173091,0.006930983420285122,0.01926598748891523,0.012335004068630109,2.7796903153063206,100.42983198348259,76.16932715836326,-24.260504825119327,0.7584332827609491,526.7828469998454,557.5912901769732,30.808443177127742,1.058484142664457,43.250653161020786,8.613565441058082,-34.63708771996271,0.19915457482202767
27500000000.0,1.6593170902170582,23.180681043401048,21.52136395318399,13.970012832428997,0.008741711003723918,0.04239108594462126,0.03364937494089734,4.8492893355274385,96.58492627877278,75.48117366345126,-21.103752615321525,0.7815005567803631,532.2863234117302,555.308023959179,23.021700547448745,1.043250595656656,43.256143222888625,6.759255818087387,-36.496887404801235,0.15626117620469648
28000000000.0,2.5171842927648767,35.7898041881021,33.27261989533723,14.21818986038188,0.00713058706900997,0.061146143819830336,0.054015556750820364,8.575190685992146,95.49919107883969,75.8010169545319,-19.698174124307783,0.7937346494584872,534.355569783152,555.8511793639387,21.495609580786777,1.040227164824931,46.517225850365165,8.392885614180388,-38.12434023618478,0.1804253254735848
28500000000.0,4.954424126788833,18.142264905100614,13.18784077831178,3.66183121202814,0.011758964440523191,0.05140828652096243,0.03964932208043924,4.371837909790901,100.26781928442449,75.86386086875672,-24.403958415667773,0.7566122551599298,538.7737357620576,553.5114847343702,14.737748972312602,1.0273542453799591,60.79224616636429,9.343555017372857,-51.448691148991436,0.1536964926711747
29000000000.0,2.1047337570928435,9.810872712597062,7.706138955504219,4.661336703293198,0.008319150621813091,0.03147554207653729,0.0231563914547242,3.78350429117215,96.97153077306263,75.06448697043454,-21.90704380262808,0.7740878830314024,535.4684626485031,554.6402014866902,19.17173883818714,1.0358036750537296,25.60620487177436,7.425058532816148,-18.18114633895821,0.2899710663879272
29500000000.0,1.1931805416208758,78.28178149633105,77.08860095471017,65.60765849398548,0.006875012558331656,0.10010959731877704,0.09323458476044538,14.561369374875792,95.75936200771396,75.3515140908982,-20.407847916815754,0.7868840446621628,537.601427460451,553.3574232431766,15.755995782725677,1.0293079500498252,72.68260494175843,6.788865710200326,-65.8937392315581,0.09340427074181418
30000000000.0,0.8550704582092477,22.81985622847672,21.964785770267472,26.687691066146485,0.005408407838668831,0.03667702374159023,0.0312686159029214,6.781482616632242,103.08209297516055,75.5328412064349,-27.549251768725654,0.7327445439494119,533.469749157302,553.7658138496638,20.296064692361824,1.038045390060866,78.10141669730783,8.12830670417206,-69.97310999313576,0.10407374216621917
30500000000.0,1.812665832507548,40.01009535480368,38.19742952229613,22.072515869875357,0.00636548381348441,0.05578094662602711,0.0494154628125427,8.763033299662592,96.2786923238074,75.09431635053816,-21.18437597326924,0.7799681792309631,542.7246794335466,553.93317044021,11.208491006663394,1.0206522596657333,41.74782497672928,8.472426698974884,-33.27539827775439,0.20294294861343107
31000000000.0,1.3088972586051149,78.13568524257458,76.82678798396947,59.69581243209523,0.0052206576227016195,0.10092526510897903,0.09570460748627742,19.33190651501708,96.58474413826742,75.56578453005491,-21.018959608212512,0.7823780577797826,519.1472886677668,555.0323795468132,35.8850908790464,1.069123140315602,33.50629364662741,8.547186717554121,-24.959106929073293,0.25509197787426546
